0,1,15
0,1,24
0,1,13
0,1,16
0,1,12
0,1,22
0,1,17
0,1,15
0,1,25
0,1,20
0,1,28
0,1,23
0,1,13
0,1,12
0,1,15
0,1,15
0,1,35
0,1,35
0,1,19
0,1,13
0,1,41
0,1,25
0,1,35
0,1,25
0,1,25
0,1,30
1,1,28
1,1,90
1,1,35
1,1,81
1,1,84
1,1,49
1,1,19
1,1,70
1,1,32
1,1,330
1,1,165
0,1,16
0,1,15
0,1,20
0,1,11
0,1,38
0,1,17
0,1,15
0,1,9
0,1,15
0,1,22
0,1,15
0,1,15
0,1,12
0,1,30
0,1,25
0,1,8
0,1,20
0,1,16
0,1,17
0,1,13
0,1,18
0,1,12
0,1,7
0,1,35
0,1,22
0,1,25
0,1,20
0,1,15
0,1,15
0,1,13
0,1,19
0,1,19
0,1,16
0,1,15
0,1,40
0,1,10
0,1,40
0,1,15
0,1,24
0,1,22
0,1,13
0,1,40
0,1,16
0,1,22
0,1,17
0,1,22
0,1,24
0,1,17
0,1,13
0,1,19
0,1,13
1,1,36
1,1,65
1,1,46
1,1,28
1,1,114
1,1,500
1,1,170
1,1,375
1,1,32
1,1,102
0,1,62
0,1,10
0,1,25
0,1,17
0,1,30
0,1,24
0,1,13
0,1,20
0,1,7
0,1,9
0,1,15
0,1,7
0,1,28
0,1,12
0,1,14
0,1,15
0,1,18
0,1,48
0,1,10
0,1,16
0,1,7
0,1,30
0,1,18
0,1,18
0,1,33
0,1,12
0,1,12
0,1,13
0,1,20
0,1,11
0,1,13
0,1,17
0,1,18
0,1,38
0,1,9
0,1,28
0,1,14
0,1,40
0,1,15
0,1,15
0,1,30
0,1,24
0,1,18
0,1,17
0,1,14
0,1,20
0,1,14
0,1,12
0,1,35
0,1,18
0,1,15
0,1,12
0,1,11
0,1,9
0,1,14
0,1,14
0,1,15
0,1,30
0,1,16
0,1,15
0,1,9
0,1,12
0,1,13
0,1,45
0,1,40
0,1,28
0,1,20
0,1,14
0,1,28
0,1,25
0,1,28
0,1,18
0,1,24
0,1,35
0,1,15
0,1,17
1,1,25
1,1,75
1,1,40
1,1,28
1,1,56
1,1,35
1,1,25
1,1,54
1,1,17
1,1,55
1,1,30
1,1,85
1,1,100
1,1,24
1,1,25
0,1,12
0,1,19
0,1,35
0,1,14
0,1,25
0,1,15
0,1,18
0,1,18
0,1,12
0,1,22
0,1,15
0,1,18
0,1,25
0,1,29
0,1,19
0,1,17
0,1,39
0,1,10
0,1,17
0,1,18
0,1,11
0,1,19
0,1,19
0,1,14
0,1,15
0,1,13
0,1,13
0,1,13
0,1,11
0,1,12
0,1,8
0,1,16
0,1,14
0,1,9
0,1,14
0,1,16
0,1,30
0,1,14
0,1,14
0,1,14
0,1,12
0,1,19
0,1,15
0,1,12
0,1,13
0,1,15
0,1,18
0,1,15
0,1,15
0,1,15
0,1,18
0,1,28
0,1,18
0,1,18
0,1,15
0,1,27
0,1,20
0,1,20
0,1,27
0,1,17
0,1,14
0,1,15
1,1,70
1,1,60
1,1,40
1,1,30
1,1,50
1,1,70
1,1,80
1,1,16
1,1,40
1,1,120
1,1,32
1,1,130
0,1,16
0,1,12
0,1,22
0,1,39
0,1,26
0,1,22
0,1,25
0,1,12
0,1,35
0,1,22
0,1,10
0,1,21
0,1,19
0,1,10
0,1,14
0,1,13
0,1,35
0,1,20
0,1,9
0,1,20
0,1,31
0,1,9
0,1,35
0,1,12
0,1,14
0,1,15
0,1,21
0,1,32
0,1,8
0,1,24
0,1,18
0,1,23
0,1,10
0,1,25
0,1,16
0,1,29
0,1,12
0,1,25
0,1,35
0,1,13
0,1,28
0,1,18
0,1,22
0,1,35
0,1,11
0,1,75
0,1,20
0,1,20
0,1,18
0,1,19
0,1,18
0,1,12
0,1,25
0,1,13
0,1,14
0,1,20
0,1,26
0,1,10
0,1,25
0,1,19
0,1,20
0,1,12
1,1,23
1,1,30
1,1,72
1,1,56
1,1,35
1,1,29
1,1,28
0,1,30
0,1,35
0,1,55
1,1,18
1,1,35
1,1,130
1,1,60
1,1,30
1,1,95
0,1,20
0,1,11
0,1,15
0,1,15
0,1,12
0,1,13
0,1,15
0,1,15
0,1,12
0,1,8
0,1,40
0,1,10
0,1,10
0,1,9
0,1,15
0,1,13
0,1,17
0,1,12
0,1,15
0,1,12
0,1,29
0,1,15
0,1,12
0,1,13
0,1,15
0,1,13
0,1,15
0,1,15
0,1,15
0,1,18
0,1,17
0,1,30
0,1,45
0,1,18
0,1,10
0,1,15
0,1,18
0,1,10
0,1,15
0,1,28
0,1,23
0,1,14
0,1,13
0,1,12
0,1,13
0,1,9
0,1,20
0,1,13
0,1,13
0,1,10
0,1,16
0,1,15
0,1,32
0,1,22
0,1,13
0,1,15
0,1,20
0,1,56
0,1,23
0,1,26
1,1,173
1,1,95
1,1,125
1,1,20
0,1,15
0,1,10
0,1,13
0,1,15
0,1,20
0,1,12
0,1,25
0,1,9
0,1,17
0,1,7
0,1,10
0,1,35
0,1,15
0,1,35
0,1,18
0,1,19
0,1,27
0,1,14
0,1,13
0,1,25
0,1,22
0,1,18
0,1,19
0,1,10
0,1,18
0,1,20
0,1,27
0,1,12
0,1,27
0,1,18
0,1,14
0,1,8
0,1,9
0,1,18
0,1,25
0,1,15
0,1,14
0,1,30
0,1,13
0,1,18
0,1,16
0,1,10
0,1,16
0,1,30
0,1,14
0,1,26
0,1,20
0,1,15
0,1,18
0,1,16
0,1,24
0,1,11
0,1,28
0,1,19
0,1,16
0,1,37
0,1,15
0,1,20
0,1,20
0,1,28
0,1,22
0,1,40
0,1,60
0,1,30
1,1,50
1,1,105
1,1,62
1,1,16
1,1,27
1,1,75
1,1,48
0,1,34
0,1,13
0,1,18
0,1,17
0,1,12
0,1,14
0,1,22
0,1,8
0,1,12
0,1,13
0,1,12
0,1,60
0,1,9
0,1,14
0,1,11
0,1,7
0,1,10
0,1,10
0,1,10
0,1,13
0,1,18
0,1,15
0,1,35
0,1,20
0,1,14
0,1,9
0,1,25
0,1,8
0,1,28
0,1,7
0,1,14
0,1,7
0,1,19
0,1,17
0,1,8
0,1,14
0,1,13
0,1,18
0,1,10
0,1,7
0,1,12
0,1,59
0,1,10
0,1,20
0,1,25
0,1,15
0,1,24
0,1,16
0,1,10
0,1,15
0,1,12
0,1,28
0,1,14
0,1,28
0,1,10
0,1,22
0,1,20
0,1,18
0,1,30
0,1,12
0,1,16
0,1,35
0,1,40
0,1,26
0,1,18
0,1,27
0,1,72
1,1,35
1,1,50
1,1,65
1,1,88
1,1,85
0,1,66
0,1,18
0,1,12
0,1,14
0,1,6
0,1,16
0,1,12
0,1,20
0,1,14
0,1,15
0,1,20
0,1,15
0,1,11
0,1,29
0,1,26
0,1,16
0,1,11
0,1,8
0,1,10
0,1,28
0,1,12
0,1,11
0,1,23
0,1,25
0,1,13
0,1,9
0,1,22
0,1,13
0,1,25
0,1,32
0,1,11
0,1,20
0,1,37
0,1,24
0,1,16
0,1,20
0,1,13
0,1,10
0,1,23
0,1,15
0,1,24
0,1,40
0,1,18
0,1,20
0,1,20
0,1,28
0,1,13
0,1,15
0,1,14
0,1,22
0,1,12
0,1,10
0,1,26
0,1,17
0,1,22
0,1,35
0,1,77
0,1,35
1,1,28
1,1,40
1,1,17
1,1,75
1,1,25
1,1,35
0,1,18
0,1,22
0,1,17
0,1,11
0,1,13
0,1,12
0,1,9
0,1,11
0,1,16
0,1,13
0,1,30
0,1,18
0,1,7
0,1,12
0,1,25
0,1,10
0,1,13
0,1,17
0,1,20
0,1,30
0,1,15
0,1,20
0,1,16
0,1,15
0,1,13
0,1,12
1,1,22
1,1,40
0,1,18
0,1,16
0,1,13
0,1,16
0,1,35
0,1,9
0,1,9
0,1,27
0,1,20
0,1,15
0,1,19
0,1,22
0,1,15
0,1,23
0,1,10
0,1,11
0,1,11
0,1,12
0,1,11
0,1,12
0,1,25
0,1,24
0,1,10
0,1,16
0,1,18
0,1,18
0,1,16
0,1,15
0,1,17
0,1,20
0,1,40
0,1,10
0,1,48
0,1,45
0,1,27
0,1,12
0,1,18
0,1,13
1,1,34
1,1,43
1,1,17
1,1,20
1,1,60
1,1,40
0,1,18
0,1,28
0,1,20
0,1,25
0,1,20
0,1,15
0,1,16
0,1,7
0,1,25
0,1,34
0,1,30
0,1,16
0,1,25
0,1,15
0,1,29
0,1,10
0,1,28
0,1,15
0,1,40
0,1,11
0,1,12
0,1,14
0,1,17
0,1,10
1,1,50
1,1,50
1,1,70
1,1,30
0,1,10
0,1,20
0,1,17
0,1,27
0,1,9
0,1,15
0,1,24
0,1,30
0,1,9
0,1,13
0,1,11
0,1,20
0,1,20
0,1,10
0,1,24
0,1,15
0,1,14
0,1,14
0,1,17
0,1,15
0,1,24
0,1,16
0,1,57
0,1,16
0,1,28
0,1,26
0,1,22
0,1,55
0,1,24
1,1,24
1,1,55
1,1,53
1,1,65
1,1,36
1,1,50
1,1,45
0,1,15
0,1,20
0,1,9
0,1,12
0,1,13
0,1,15
0,1,10
0,1,5
0,1,7
0,1,12
0,1,24
0,1,9
0,1,11
0,1,12
0,1,24
0,1,24
0,1,13
0,1,10
0,1,10
0,1,25
0,1,13
0,1,17
0,1,9
0,1,18
1,1,47
1,1,40
0,1,8
0,1,35
0,1,10
0,1,16
0,1,16
0,1,40
0,1,13
0,1,18
0,1,16
0,1,35
0,1,16
0,1,12
0,1,35
0,1,26
0,1,16
0,1,30
0,1,14
0,1,20
0,1,15
0,1,19
0,1,14
0,1,17
0,1,14
0,1,40
0,1,28
0,1,28
0,1,15
0,1,20
0,1,10
0,1,25
0,1,12
0,1,15
0,1,15
0,1,14
1,1,30
1,1,55
1,1,59
1,1,60
1,1,90
1,1,24
0,1,20
0,1,12
0,1,25
0,1,20
0,1,19
0,1,10
0,1,15
0,1,10
0,1,11
0,1,11
0,1,18
0,1,35
0,1,20
0,1,14
0,1,30
0,1,15
0,1,11
0,1,25
0,1,10
0,1,10
0,1,11
0,1,20
0,1,21
0,1,11
0,1,12
0,1,15
1,1,48
1,1,30
1,1,48
1,1,40
1,1,27
0,1,32
0,1,20
0,1,38
0,1,7
0,1,33
0,1,10
0,1,8
0,1,14
0,1,10
0,1,12
0,1,40
0,1,12
0,1,20
0,1,17
0,1,6
0,1,34
0,1,11
0,1,40
0,1,15
0,1,15
0,1,24
0,1,11
0,1,50
0,1,14
0,1,11
0,1,13
0,1,36
0,1,36
1,1,35
1,1,60
1,1,60
0,1,11
0,1,12
0,1,9
0,1,18
0,1,10
0,1,18
0,1,14
0,1,12
0,1,15
0,1,9
0,1,16
0,1,17
0,1,14
0,1,15
0,1,19
0,1,12
0,1,12
0,1,9
0,1,18
0,1,15
0,1,14
0,1,10
0,1,11
0,1,26
0,1,15
0,1,15
0,1,20
0,1,14
0,1,11
0,1,14
0,1,13
0,1,14
0,1,13
0,1,15
0,1,11
0,1,10
1,1,48
1,1,63
1,1,17
1,1,24
1,1,48
1,1,35
1,1,48
1,1,32
0,1,10
0,1,10
0,1,12
0,1,10
0,1,22
0,1,16
0,1,25
0,1,18
0,1,20
0,1,14
0,1,12
0,1,15
0,1,17
0,1,16
0,1,42
0,1,20
0,1,15
0,1,18
0,1,10
0,1,17
0,1,13
0,1,10
0,1,16
0,1,16
0,1,20
0,1,26
0,1,17
0,1,39
0,1,18
0,1,35
0,1,22
1,1,40
1,1,27
0,1,65
0,1,20
0,1,16
0,1,20
0,1,18
0,1,11
0,1,13
0,1,10
0,1,45
0,1,12
0,1,10
0,1,17
1,1,410
1,1,30
1,1,110
1,1,99
1,1,260
1,1,55
1,1,45
1,1,45
1,1,24
1,1,15
1,1,15
1,1,20
1,1,19
1,1,30
1,1,20
1,1,47
1,1,30
0,1,20
0,1,12
0,1,15
0,1,12
0,1,13
0,1,10
0,1,12
0,1,13
0,1,19
0,1,18
0,1,13
0,1,35
0,1,10
0,1,7
0,1,12
0,1,14
0,1,16
0,1,9
0,1,15
0,1,25
0,1,10
0,1,9
0,1,14
0,1,18
0,1,40
0,1,12
0,1,17
0,1,14
0,1,22
0,1,12
0,1,35
0,1,16
0,1,15
0,1,11
0,1,24
0,1,15
0,1,18
0,1,12
0,1,38
0,1,12
0,1,19
0,1,16
0,1,25
0,1,26
0,1,23
0,1,25
0,1,75
0,1,20
0,1,15
0,1,30
0,1,7
0,1,9
0,1,10
0,1,12
0,1,22
0,1,25
0,1,12
0,1,17
0,1,24
1,1,90
1,1,130
1,1,80
1,1,38
1,1,55
1,1,23
1,1,70
0,1,22
0,1,13
0,1,10
0,1,16
0,1,18
0,1,15
0,1,16
1,1,25
1,1,37
0,1,11
0,1,14
0,1,15
0,1,10
0,1,10
0,1,18
0,1,13
0,1,15
0,1,22
0,1,7
0,1,9
0,1,11
0,1,15
0,1,24
0,1,21
0,1,12
0,1,8
0,1,12
0,1,12
0,1,23
0,1,11
0,1,12
0,1,32
0,1,19
0,1,10
0,1,13
0,1,9
0,1,13
0,1,12
0,1,42
0,1,18
0,1,45
0,1,15
0,1,16
0,1,10
0,1,18
0,1,12
0,1,40
0,1,12
0,1,25
0,1,28
0,1,25
0,1,19
0,1,11
0,1,20
0,1,22
0,1,14
0,1,20
0,1,55
0,1,24
0,1,22
0,1,11
0,1,15
0,1,14
0,1,11
0,1,10
0,1,10
0,1,24
0,1,20
0,1,12
0,1,14
0,1,12
0,1,11
1,1,45
1,1,80
1,1,22
1,1,55
1,1,45
1,1,80
1,1,69
1,1,80
1,1,39
1,1,40
1,1,76
1,1,25
1,1,220
1,1,155
0,1,10
0,1,20
0,1,13
0,1,13
0,1,30
0,1,18
0,1,18
0,1,19
0,1,15
0,1,15
0,1,13
0,1,10
0,1,12
0,1,17
0,1,11
0,1,15
0,1,18
0,1,14
0,1,11
0,1,13
0,1,13
0,1,10
0,1,12
0,1,17
0,1,8
0,1,9
0,1,9
0,1,11
0,1,10
0,1,28
0,1,16
0,1,12
0,1,16
0,1,17
0,1,24
0,1,9
0,1,15
0,1,14
0,1,24
0,1,15
0,1,20
0,1,11
0,1,22
0,1,14
0,1,20
0,1,18
0,1,24
0,1,25
0,1,12
0,1,16
0,1,16
0,1,22
0,1,35
0,1,39
0,1,26
0,1,56
0,1,30
0,1,50
0,1,45
0,1,22
0,1,55
0,1,34
0,1,20
0,1,22
0,1,7
0,1,16
0,1,17
0,1,12
0,1,12
0,1,10
0,1,15
0,1,30
0,1,22
0,1,13
0,1,10
1,1,70
1,1,39
1,1,48
1,1,39
1,1,28
1,1,28
1,1,26
1,1,70
0,1,16
0,1,14
0,1,8
0,1,18
0,1,20
0,1,17
0,1,28
0,1,22
0,1,14
0,1,40
0,1,23
0,1,23
0,1,21
0,1,28
0,1,20
0,1,17
0,1,10
0,1,18
0,1,10
0,1,15
0,1,10
0,1,10
0,1,8
0,1,9
0,1,8
0,1,14
0,1,22
0,1,9
0,1,28
0,1,11
0,1,11
0,1,50
0,1,20
0,1,13
0,1,24
0,1,22
0,1,13
0,1,20
0,1,13
0,1,16
0,1,19
0,1,20
0,1,15
0,1,20
0,1,13
0,1,11
0,1,10
0,1,8
0,1,24
0,1,20
0,1,16
0,1,12
0,1,15
0,1,17
0,1,30
0,1,45
0,1,32
0,1,42
0,1,38
0,1,30
0,1,42
0,1,10
0,1,15
0,1,15
0,1,15
0,1,9
0,1,11
0,1,20
0,1,15
0,1,11
0,1,20
1,1,19
1,1,80
1,1,36
1,1,77
1,1,49
1,1,38
1,1,25
1,1,30
1,1,45
1,1,35
0,1,26
0,1,28
0,1,36
0,1,40
0,1,35
0,1,25
0,1,50
0,1,13
0,1,20
0,1,15
0,1,13
0,1,13
0,1,10
0,1,20
0,1,22
0,1,12
0,1,14
0,1,8
0,1,9
0,1,13
0,1,10
0,1,10
0,1,7
0,1,10
0,1,12
1,1,55
1,1,25
1,1,180
1,1,60
0,1,11
0,1,22
0,1,14
0,1,24
0,1,19
0,1,14
0,1,20
0,1,11
0,1,21
0,1,7
0,1,18
0,1,15
0,1,8
0,1,22
0,1,10
0,1,40
0,1,14
0,1,15
0,1,10
0,1,11
0,1,18
0,1,9
0,1,6
0,1,13
0,1,23
0,1,30
0,1,16
0,1,13
0,1,27
0,1,22
0,1,25
0,1,32
0,1,25
0,1,25
0,1,35
0,1,40
0,1,60
0,1,21
0,1,105
0,1,19
0,1,10
0,1,12
0,1,7
0,1,26
0,1,10
0,1,10
0,1,14
0,1,15
0,1,15
0,1,11
0,1,20
1,1,70
1,1,40
1,1,25
1,1,39
1,1,35
1,1,30
1,1,44
1,1,260
0,1,75
0,1,14
0,1,9
0,1,25
1,1,1400
1,1,180
0,1,17
0,1,30
0,1,10
0,1,25
0,1,9
0,1,17
0,1,11
0,1,20
0,1,20
0,1,36
0,1,37
0,1,11
0,1,40
0,1,40
0,1,9
0,1,20
0,1,17
1,1,19
1,1,15
1,1,45
1,1,32
1,1,50
1,1,39
1,1,22
0,1,20
0,1,12
0,1,12
0,1,12
0,1,17
0,1,16
0,1,14
0,1,13
0,1,17
0,1,35
0,1,18
0,1,18
0,1,28
0,1,65
0,1,75
0,1,25
0,1,20
0,1,13
0,1,30
0,1,35
0,1,30
0,1,31
0,1,29
0,1,22
0,1,19
0,1,13
0,1,11
0,1,34
0,1,10
0,1,24
0,1,34
0,1,10
0,1,26
1,1,51
1,1,24
1,1,36
1,1,20
1,1,38
1,1,35
1,1,45
1,1,20
1,1,150
1,1,69
0,1,17
0,1,8
0,1,12
0,1,14
0,1,10
0,1,17
0,1,15
0,1,15
1,1,79
1,1,47
1,1,45
1,1,38
1,1,42
1,1,90
1,1,45
1,1,39
1,1,45
1,1,29
1,1,28
1,1,15
1,1,39
0,1,8
0,1,16
0,1,19
0,1,12
0,1,15
0,1,9
0,1,15
0,1,30
0,1,7
0,1,18
0,1,9
0,1,11
0,1,14
0,1,20
0,1,16
0,1,6
0,1,13
0,1,9
0,1,19
0,1,8
0,1,13
0,1,30
0,1,24
0,1,25
0,1,6
0,1,24
0,1,25
0,1,16
0,1,13
0,1,15
0,1,20
0,1,30
0,1,22
0,1,18
0,1,25
0,1,24
0,1,18
0,1,65
0,1,23
0,1,22
0,1,36
0,1,24
0,1,26
0,1,48
1,1,60
1,1,35
1,1,36
1,1,30
1,1,60
1,1,40
1,1,36
1,1,30
1,1,20
1,1,40
1,1,33
0,1,20
0,1,26
0,1,13
0,1,15
0,1,17
0,1,9
0,1,35
0,1,24
1,1,42
1,1,26
1,1,35
1,1,44
0,1,9
0,1,10
0,1,7
0,1,12
0,1,12
0,1,8
0,1,18
0,1,11
0,1,8
0,1,11
0,1,10
0,1,14
0,1,40
0,1,35
0,1,15
0,1,27
0,1,10
0,1,13
0,1,10
0,1,9
0,1,25
0,1,19
0,1,19
0,1,24
0,1,22
0,1,20
0,1,11
0,1,15
0,1,20
0,1,15
0,1,34
0,1,23
0,1,85
0,1,30
0,1,20
0,1,15
0,1,32
1,1,48
1,1,48
1,1,48
1,1,60
1,1,24
1,1,23
1,1,30
1,1,28
1,1,48
0,1,28
0,1,29
0,1,45
0,1,40
0,1,24
0,1,9
0,1,15
0,1,20
0,1,20
0,1,16
0,1,15
1,1,80
1,1,30
0,1,11
0,1,10
0,1,20
0,1,20
0,1,15
0,1,18
0,1,12
1,1,26
1,1,59
1,1,35
1,1,30
1,1,30
1,1,45
0,1,10
0,1,32
0,1,18
0,1,12
0,1,10
0,1,9
0,1,10
0,1,13
0,1,10
0,1,14
0,1,12
0,1,8
0,1,16
0,1,14
0,1,22
0,1,35
0,1,50
0,1,17
0,1,16
0,1,17
0,1,35
0,1,17
0,1,20
0,1,45
0,1,21
0,1,20
0,1,13
0,1,58
0,1,80
0,1,10
1,1,36
1,1,55
1,1,25
1,1,36
1,1,89
0,1,15
0,1,65
0,1,48
0,1,70
0,1,30
0,1,14
0,1,16
0,1,18
0,1,9
0,1,20
0,1,18
0,1,15
0,1,18
1,1,22
1,1,48
0,1,15
0,1,10
1,1,18
1,1,50
1,1,25
1,1,47
1,1,35
0,1,10
0,1,22
0,1,15
0,1,11
0,1,13
0,1,20
0,1,28
0,1,9
0,1,16
0,1,11
0,1,11
0,1,9
0,1,13
0,1,19
0,1,18
0,1,11
0,1,11
0,1,20
0,1,13
0,1,9
0,1,29
0,1,38
0,1,20
0,1,10
0,1,12
0,1,12
0,1,40
0,1,24
0,1,60
0,1,20
0,1,13
0,1,14
1,1,20
1,1,22
1,1,15
1,1,26
0,1,55
0,1,16
0,1,30
0,1,55
0,1,21
0,1,27
0,1,12
1,1,48
1,1,30
0,1,42
0,1,18
0,1,20
0,1,15
1,1,20
1,1,18
1,1,35
1,1,18
1,1,20
1,1,42
1,1,20
1,1,40
0,1,7
0,1,30
0,1,6
0,1,18
0,1,16
0,1,11
0,1,20
0,1,15
0,1,7
0,1,25
0,1,20
0,1,15
0,1,24
0,1,13
0,1,15
0,1,16
0,1,13
0,1,25
0,1,55
0,1,15
0,1,23
0,1,20
0,1,65
0,1,22
0,1,27
0,1,13
0,1,29
0,1,33
0,1,27
0,1,18
0,1,32
0,1,32
0,1,40
0,1,26
1,1,80
1,1,30
0,1,16
0,1,18
0,1,10
0,1,32
0,1,19
0,1,14
1,1,36
1,1,50
1,1,44
1,1,20
1,1,24
1,1,30
0,1,34
0,1,18
0,1,25
0,1,29
0,1,22
0,1,11
0,1,12
0,1,18
0,1,30
0,1,12
0,1,24
0,1,22
0,1,15
0,1,15
0,1,20
0,1,35
0,1,25
0,1,18
0,1,14
0,1,13
0,1,12
0,1,8
0,1,29
0,1,16
1,1,20
1,1,15
1,1,46
1,1,69
0,1,24
1,1,35
1,1,36
1,1,75
1,1,80
1,1,106
1,1,81
1,1,81
1,1,104
1,1,25
1,1,35
1,1,60
1,1,30
0,1,31
0,1,34
0,1,28
0,1,35
0,1,37
0,1,48
0,1,22
0,1,16
1,1,40
1,1,38
1,1,40
0,1,25
0,1,15
0,1,22
1,1,60
1,1,65
1,1,20
1,1,30
1,1,40
1,1,46
0,1,12
0,1,18
0,1,24
0,1,11
0,1,15
0,1,13
0,1,15
0,1,18
0,1,17
0,1,22
0,1,35
0,1,15
0,1,22
0,1,15
0,1,13
0,1,50
0,1,22
0,1,30
0,1,10
0,1,12
0,1,23
0,1,25
0,1,25
0,1,23
0,1,35
0,1,28
0,1,32
0,1,18
0,1,28
0,1,25
1,1,18
1,1,27
1,1,18
1,1,42
1,1,110
1,1,81
1,1,70
1,1,50
1,1,42
1,1,22
1,1,45
1,1,55
0,1,25
0,1,15
0,1,35
0,1,16
0,1,26
0,1,18
1,1,70
1,1,25
1,1,40
1,1,26
1,1,23
1,1,74
1,1,78
1,1,64
1,1,37
0,1,37
0,1,20
0,1,14
0,1,18
0,1,25
0,1,11
0,1,30
0,1,15
0,1,13
0,1,18
0,1,22
0,1,20
0,1,18
0,1,53
0,1,20
0,1,30
0,1,16
0,1,20
0,1,50
0,1,35
0,1,18
0,1,20
0,1,21
0,1,25
0,1,12
0,1,13
0,1,35
0,1,15
0,1,15
0,1,15
0,1,18
0,1,10
0,1,45
0,1,12
0,1,39
0,1,23
0,1,52
0,1,25
0,1,24
0,1,18
0,1,17
1,1,82
1,1,60
1,1,60
1,1,26
1,1,26
1,1,70
1,1,38
1,1,110
0,1,33
0,1,40
0,1,14
0,1,30
0,1,14
0,1,29
0,1,29
1,1,18
1,1,30
1,1,21
1,1,32
1,1,65
1,1,33
1,1,20
0,1,25
0,1,11
0,1,13
0,1,12
0,1,28
0,1,19
0,1,25
0,1,6
0,1,16
0,1,13
0,1,9
0,1,20
0,1,14
0,1,24
0,1,26
0,1,26
0,1,27
0,1,20
0,1,25
0,1,45
0,1,13
0,1,20
0,1,38
0,1,25
0,1,10
0,1,20
0,1,25
0,1,28
0,1,14
0,1,16
0,1,24
0,1,18
0,1,30
0,1,13
0,1,9
0,1,11
0,1,12
0,1,11
0,1,17
0,1,25
0,1,18
0,1,30
0,1,18
0,1,14
0,1,18
0,1,20
0,1,103
0,1,38
0,1,29
0,1,28
0,1,22
0,1,12
0,1,12
1,1,32
1,1,32
1,1,24
1,1,22
1,1,35
1,1,25
1,1,25
1,1,45
1,1,35
1,1,130
1,1,79
1,1,17
1,1,69
1,1,42
1,1,19
1,1,50
1,1,17
1,1,34
1,1,25
1,1,19
1,1,25
1,1,26
1,1,30
0,1,10
0,1,30
0,1,15
0,1,15
0,1,30
0,1,29
0,1,12
0,1,33
0,1,9
0,1,20
0,1,17
0,1,23
0,1,18
0,1,30
0,1,20
0,1,39
0,1,15
0,1,45
0,1,20
0,1,22
0,1,16
0,1,18
0,1,15
0,1,22
0,1,19
0,1,10
0,1,13
0,1,39
0,1,11
0,1,35
0,1,14
0,1,16
0,1,30
0,1,25
0,1,21
0,1,20
0,1,13
0,1,20
0,1,15
0,1,30
0,1,24
1,1,22
1,1,20
1,1,18
1,1,32
1,1,100
1,1,59
1,1,102
1,1,22
1,1,75
1,1,47
1,1,20
1,1,27
1,1,48
1,1,51
1,1,50
1,1,145
1,1,24
0,1,23
0,1,50
0,1,16
0,1,28
0,1,20
0,1,15
0,1,70
0,1,17
0,1,20
0,1,10
0,1,18
0,1,30
0,1,15
0,1,17
0,1,12
0,1,13
1,1,44
1,1,35
1,1,9
0,1,9
0,1,15
0,1,26
0,1,32
0,1,16
0,1,18
0,1,21
0,1,30
0,1,25
0,1,20
0,1,14
0,1,16
0,1,23
0,1,10
0,1,26
0,1,30
0,1,40
0,1,21
0,1,37
0,1,40
0,1,10
0,1,15
0,1,24
0,1,27
0,1,13
1,1,30
1,1,399
1,1,19
0,1,25
0,1,12
0,1,16
0,1,16
0,1,14
0,1,30
0,1,20
0,1,40
0,1,56
0,1,22
0,1,21
0,1,24
0,1,19
0,1,48
0,1,30
0,1,24
0,1,19
0,1,35
0,1,25
0,1,44
0,1,17
0,1,22
0,1,19
0,1,23
0,1,24
0,1,31
0,1,20
0,1,50
0,1,16
0,1,14
0,1,20
0,1,19
0,1,25
0,1,18
0,1,18
0,1,16
0,1,40
0,1,12
0,1,25
0,1,8
0,1,15
0,1,12
0,1,15
0,1,10
1,1,23
1,1,24
1,1,16
1,1,16
1,1,64
0,1,35
0,1,37
0,1,9
0,1,11
0,1,17
0,1,22
0,1,23
0,1,28
0,1,12
0,1,20
0,1,56
0,1,18
0,1,35
0,1,19
0,1,29
0,1,15
0,1,22
0,1,18
0,1,10
0,1,28
1,1,75
1,1,22
1,1,30
1,1,13
0,1,28
0,1,18
0,1,18
0,1,11
0,1,16
0,1,48
0,1,28
0,1,15
0,1,24
0,1,10
0,1,29
0,1,24
0,1,18
0,1,10
0,1,20
0,1,22
0,1,40
0,1,11
0,1,63
0,1,63
0,1,35
0,1,40
0,1,39
0,1,15
0,1,30
0,1,58
0,1,55
0,1,11
0,1,12
0,1,19
0,1,30
0,1,15
0,1,16
0,1,16
0,1,15
0,1,25
0,1,16
0,1,19
0,1,28
0,1,13
0,1,18
0,1,15
1,1,30
1,1,23
1,1,48
0,1,10
0,1,10
0,1,9
1,1,114
1,1,35
1,1,85
1,1,76
0,1,21
0,1,20
0,1,20
0,1,17
0,1,20
0,1,18
0,1,18
0,1,22
0,1,20
0,1,28
0,1,20
0,1,14
0,1,11
0,1,11
0,1,16
0,1,15
0,1,24
0,1,24
0,1,25
0,1,10
0,1,12
1,1,42
1,1,17
0,1,10
0,1,30
0,1,15
0,1,12
0,1,25
0,1,16
0,1,12
0,1,13
0,1,9
0,1,52
0,1,12
0,1,39
0,1,9
0,1,70
0,1,75
0,1,45
0,1,16
0,1,19
0,1,22
0,1,17
0,1,15
0,1,15
0,1,30
0,1,38
0,1,42
0,1,21
0,1,35
0,1,46
0,1,22
0,1,52
0,1,25
0,1,42
0,1,17
0,1,60
0,1,20
0,1,18
0,1,16
0,1,29
0,1,18
0,1,15
0,1,23
0,1,36
